id,activity_name,domain,difficulty,goal,skills_targeted,materials,time_required_minutes,step_instructions,age_range,sensory_suitability,autism_level_suitability,environment_fit,cost_level,learning_style_fit
947,Sentence Starters (Writing) - Practice writing simple #219,Writing,Moderate,Practice writing simple labels for pictures,"copying skills, sentence building","stickers, paper, string",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Neutral,Level 3 (high support),Low materials / small space,Medium cost,Visual
948,Letter Hunt (Writing) - Improve spacing and #50,Writing,Easy,Improve spacing and line awareness,"visual-motor integration, fine motor precision","zipper pouch, pom-poms, picture cards, stickers",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,No cost,Mixed
949,Sticker Pick-Up (Fine Motor) - Improve scissor skills #140,Fine Motor,Easy,Improve scissor skills with safe cutting,"grip strength, tool use","rice or beans in a container, picture cards, glue, playdough",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",3-4,Neutral,Level 1 (mild support),Quiet environment,Medium cost,Mixed
950,Turn-Taking Game (Speech) - Build social greeting #67,Speech,Easy,Build social greeting skills,"social communication, vocabulary","playdough, blocks, stickers",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Mixed
951,Movement Break (Sensory) - Support body awareness #158,Sensory,Easy,Support body awareness,"body awareness, sensory modulation","markers, glue",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-seeking,Level 3 (high support),Low materials / small space,Low cost,Auditory
952,Sticker Pick-Up (Fine Motor) - Develop pincer grasp #76,Fine Motor,Moderate,Develop pincer grasp,"grip strength, bilateral coordination","paper, rubber bands, pencil, crayons",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Sensory-avoidant,Level 1 (mild support),Quiet environment,No cost,Kinesthetic
953,Balance Line (Gross Motor) - Increase core strength #86,Gross Motor,Challenging,Increase core strength,"motor planning, coordination","tape on floor, playdough",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Neutral,Level 2 (moderate support),Group setting possible,No cost,Auditory
954,Sentence Starters (Writing) - Practice tracing shapes #138,Writing,Easy,Practice tracing shapes and letters,"spacing, sentence building","ball, soft toys, rubber bands",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Neutral,Level 2 (moderate support),Quiet environment,No cost,Auditory
955,Threading (Fine Motor) - Improve finger strength #194,Fine Motor,Challenging,Improve finger strength and control,"bilateral coordination, dexterity","tape on floor, coins, safe scissors",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Mixed
956,Pinch & Place (Fine Motor) - Improve scissor skills #138,Fine Motor,Moderate,Improve scissor skills with safe cutting,"hand-eye coordination, dexterity","tape on floor, notebook, glue, buttons",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Sensory-avoidant,Level 1 (mild support),Quiet environment,Medium cost,Visual
957,Pinch & Place (Fine Motor) - Increase handeye coordination #223,Fine Motor,Moderate,Increase hand-eye coordination,"bilateral coordination, grip strength","pom-poms, flashcards",30,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Neutral,Level 2 (moderate support),Group setting possible,No cost,Kinesthetic
958,Deep Pressure Routine (Sensory) - Reduce restlessness using #176,Sensory,Easy,Reduce restlessness using movement breaks,"proprioception, sensory modulation","markers, ball, pillow, rubber bands",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Visual
959,Jump & Stop (Gross Motor) - Encourage wholebody movement #67,Gross Motor,Moderate,Encourage whole-body movement,"balance, coordination","notebook, plastic cups, playdough",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Sensory-seeking,Level 1 (mild support),Outdoor friendly,No cost,Kinesthetic
960,Animal Walks (Gross Motor) - Increase core strength #217,Gross Motor,Moderate,Increase core strength,"core strength, coordination","blocks, stickers, pom-poms",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Sensory-seeking,Level 1 (mild support),Group setting possible,Low cost,Visual
961,Shape Practice (Writing) - Practice copying from #116,Writing,Easy,Practice copying from a model,"letter formation, spacing","stickers, picture cards, paper",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",3-4,Mixed,Level 2 (moderate support),Group setting possible,No cost,Kinesthetic
962,Heavy Work (Sensory) - Improve tolerance to #29,Sensory,Easy,Improve tolerance to textures,"tactile tolerance, transitioning","markers, rubber bands, notebook, paper",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-seeking,Level 2 (moderate support),Low materials / small space,No cost,Mixed
963,Sticker Pick-Up (Fine Motor) - Practice bilateral coordination #176,Fine Motor,Moderate,Practice bilateral coordination,"hand-eye coordination, finger isolation","playdough, paper, notebook",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Mixed,Level 1 (mild support),Low materials / small space,No cost,Visual
964,Jump & Stop (Gross Motor) - Improve balance and #207,Gross Motor,Easy,Improve balance and coordination,"endurance, motor planning","tape on floor, playdough, soft toys",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Sensory-seeking,Level 2 (moderate support),Low materials / small space,Low cost,Kinesthetic
965,Sentence Starters (Writing) - Practice writing simple #86,Writing,Easy,Practice writing simple labels for pictures,"visual-motor integration, sentence building","ball, blocks, pencil, stickers",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Neutral,Level 2 (moderate support),Low materials / small space,No cost,Visual
